Company Name,Symbol,Serial Number,2022-23 Status,2022-23 Filename,2023-24 Status,2023-24 Filename,2024-25 Status,2024-25 Filename
Lupin,LUPIN,302,Not Found,,Not Found,,Not Found,
MMTC,MMTC,303,Not Found,,Not Found,,Not Found,
MRF,MRF,304,Not Found,,Not Found,,Not Found,
Mahanagar Gas,MGL,305,Not Found,,Not Found,,Not Found,
Maharashtra Seamless,MAHSEAMLES,306,Not Found,,Not Found,,Not Found,
Mahindra & Mahindra Financial Services,M&MFIN,307,Not Found,,Not Found,,Not Found,
Mahindra & Mahindra,M&M,308,Not Found,,Not Found,,Not Found,
Manappuram Finance,MANAPPURAM,309,Not Found,,Not Found,,Not Found,
Mangalore Refinery & Petrochemicals,MRPL,310,Not Found,,Not Found,,Not Found,
Mankind Pharma,MANKIND,311,Not Found,,Not Found,,Not Found,
Marico,MARICO,312,Not Found,,Not Found,,Not Found,
Maruti Suzuki India,MARUTI,313,Not Found,,Not Found,,Not Found,
Mastek,MASTEK,314,Not Found,,Not Found,,Not Found,
Max Financial Services,MFSL,315,Not Found,,Not Found,,Not Found,
Max Healthcare Institute,MAXHEALTH,316,Not Found,,Not Found,,Not Found,
Mazagoan Dock Shipbuilders,MAZDOCK,317,Not Found,,Not Found,,Not Found,
